Time: 1576423510, Messages: 0, Members Joined: 0
Time: 1576423515, Messages: 0, Members Joined: 0
Time: 1576423520, Messages: 0, Members Joined: 0
Time: 1576423525, Messages: 0, Members Joined: 0
Time: 1576423530, Messages: 0, Members Joined: 0
Time: 1576423535, Messages: 1, Members Joined: 0
Time: 1576423540, Messages: 1, Members Joined: 0
Time: 1576423545, Messages: 0, Members Joined: 0
Time: 1576423550, Messages: 0, Members Joined: 0
Time: 1576423555, Messages: 0, Members Joined: 0
Time: 1576423560, Messages: 0, Members Joined: 0
Time: 1576423565, Messages: 0, Members Joined: 0
Time: 1576423570, Messages: 1, Members Joined: 0
Time: 1576423575, Messages: 0, Members Joined: 0
Time: 1576423580, Messages: 0, Members Joined: 0
Time: 1576423585, Messages: 0, Members Joined: 0
Time: 1576423590, Messages: 0, Members Joined: 0
Time: 1576423595, Messages: 0, Members Joined: 0
Time: 1576423600, Messages: 0, Members Joined: 0
Time: 1576423605, Messages: 0, Members Joined: 0
Time: 1576423610, Messages: 0, Members Joined: 0
Time: 1576423615, Messages: 0, Members Joined: 0
Time: 1576423620, Messages: 0, Members Joined: 0
Time: 1576423625, Messages: 0, Members Joined: 0
Time: 1576423630, Messages: 0, Members Joined: 0
Time: 1576423635, Messages: 0, Members Joined: 0
Time: 1576423640, Messages: 0, Members Joined: 0
Time: 1576423645, Messages: 0, Members Joined: 0
Time: 1576423650, Messages: 0, Members Joined: 0
Time: 1576423655, Messages: 0, Members Joined: 0
Time: 1576423660, Messages: 1, Members Joined: 0
Time: 1576423665, Messages: 1, Members Joined: 0
Time: 1576423670, Messages: 0, Members Joined: 0
Time: 1576423675, Messages: 0, Members Joined: 0
Time: 1576423680, Messages: 1, Members Joined: 0
Time: 1576423685, Messages: 0, Members Joined: 0
Time: 1576423690, Messages: 1, Members Joined: 0
Time: 1576423695, Messages: 0, Members Joined: 0
Time: 1576423700, Messages: 1, Members Joined: 0
Time: 1576423705, Messages: 1, Members Joined: 0
Time: 1576423710, Messages: 1, Members Joined: 0
Time: 1576423715, Messages: 1, Members Joined: 0
Time: 1576423720, Messages: 0, Members Joined: 0
Time: 1576423725, Messages: 1, Members Joined: 0
Time: 1576423730, Messages: 1, Members Joined: 0
Time: 1576423735, Messages: 1, Members Joined: 0
Time: 1576423740, Messages: 0, Members Joined: 0
Time: 1576423745, Messages: 0, Members Joined: 0
Time: 1576423750, Messages: 1, Members Joined: 0
Time: 1576423755, Messages: 0, Members Joined: 0
Time: 1576423760, Messages: 1, Members Joined: 0
Time: 1576423765, Messages: 0, Members Joined: 0
Time: 1576423770, Messages: 0, Members Joined: 0
Time: 1576423775, Messages: 1, Members Joined: 0
Time: 1576423780, Messages: 0, Members Joined: 0
Time: 1576423785, Messages: 0, Members Joined: 0
Time: 1576423790, Messages: 0, Members Joined: 0
Time: 1576423795, Messages: 0, Members Joined: 0
Time: 1576423800, Messages: 1, Members Joined: 0
Time: 1576423805, Messages: 0, Members Joined: 0
Time: 1576423810, Messages: 0, Members Joined: 0
Time: 1576423815, Messages: 0, Members Joined: 0
Time: 1576423820, Messages: 0, Members Joined: 0
Time: 1576423825, Messages: 1, Members Joined: 0
Time: 1576423830, Messages: 0, Members Joined: 0
Time: 1576423835, Messages: 1, Members Joined: 0
Time: 1576423840, Messages: 0, Members Joined: 0
Time: 1576423845, Messages: 1, Members Joined: 0
Time: 1576423850, Messages: 2, Members Joined: 0
Time: 1576423855, Messages: 0, Members Joined: 0
Time: 1576423860, Messages: 1, Members Joined: 0
Time: 1576423865, Messages: 0, Members Joined: 0
Time: 1576423870, Messages: 0, Members Joined: 0
Time: 1576423875, Messages: 0, Members Joined: 0
Time: 1576423880, Messages: 0, Members Joined: 0
Time: 1576423885, Messages: 0, Members Joined: 0
Time: 1576423890, Messages: 1, Members Joined: 0
Time: 1576423895, Messages: 0, Members Joined: 0
Time: 1576423900, Messages: 2, Members Joined: 0
Time: 1576423905, Messages: 1, Members Joined: 0
Time: 1576423910, Messages: 0, Members Joined: 0
Time: 1576423915, Messages: 0, Members Joined: 0
Time: 1576423920, Messages: 0, Members Joined: 0
Time: 1576423925, Messages: 0, Members Joined: 0
Time: 1576423930, Messages: 0, Members Joined: 0
Time: 1576423935, Messages: 1, Members Joined: 0
Time: 1576423940, Messages: 0, Members Joined: 0
Time: 1576423945, Messages: 0, Members Joined: 0
Time: 1576423950, Messages: 0, Members Joined: 0
Time: 1576423955, Messages: 0, Members Joined: 0
Time: 1576423960, Messages: 1, Members Joined: 0
Time: 1576423965, Messages: 0, Members Joined: 0
Time: 1576423970, Messages: 0, Members Joined: 0
Time: 1576423975, Messages: 0, Members Joined: 0
Time: 1576423980, Messages: 0, Members Joined: 0
Time: 1576423985, Messages: 0, Members Joined: 0
Time: 1576423990, Messages: 0, Members Joined: 0
Time: 1576423995, Messages: 0, Members Joined: 0
Time: 1576424000, Messages: 0, Members Joined: 0
Time: 1576424005, Messages: 0, Members Joined: 0
Time: 1576424010, Messages: 0, Members Joined: 0
Time: 1576424015, Messages: 0, Members Joined: 0
Time: 1576424020, Messages: 1, Members Joined: 0
Time: 1576424025, Messages: 0, Members Joined: 0
Time: 1576424030, Messages: 1, Members Joined: 0
Time: 1576424035, Messages: 1, Members Joined: 0
Time: 1576424040, Messages: 0, Members Joined: 0
Time: 1576424045, Messages: 0, Members Joined: 0
Time: 1576424050, Messages: 0, Members Joined: 0
Time: 1576424055, Messages: 0, Members Joined: 0
Time: 1576424060, Messages: 0, Members Joined: 0
Time: 1576424065, Messages: 0, Members Joined: 0
Time: 1576424070, Messages: 0, Members Joined: 0
Time: 1576424075, Messages: 0, Members Joined: 0
Time: 1576424080, Messages: 0, Members Joined: 0
Time: 1576424085, Messages: 0, Members Joined: 0
Time: 1576424090, Messages: 0, Members Joined: 0
Time: 1576424095, Messages: 0, Members Joined: 0
Time: 1576424100, Messages: 0, Members Joined: 0
Time: 1576424105, Messages: 0, Members Joined: 0
Time: 1576424110, Messages: 0, Members Joined: 0
Time: 1576424115, Messages: 0, Members Joined: 0
Time: 1576424120, Messages: 0, Members Joined: 0
Time: 1576424125, Messages: 0, Members Joined: 0
Time: 1576424130, Messages: 0, Members Joined: 0
Time: 1576424135, Messages: 0, Members Joined: joined
Time: 1576424140, Messages: 1, Members Joined: 0
Time: 1576424145, Messages: 0, Members Joined: 0
Time: 1576424150, Messages: 0, Members Joined: 0
Time: 1576424155, Messages: 0, Members Joined: 0
Time: 1576424160, Messages: 0, Members Joined: 0
Time: 1576424165, Messages: 0, Members Joined: 0
Time: 1576424171, Messages: 0, Members Joined: joined
Time: 1576424176, Messages: 1, Members Joined: 0
Time: 1576424182, Messages: 0, Members Joined: 0
Time: 1576424187, Messages: 0, Members Joined: 0
Time: 1576424192, Messages: 0, Members Joined: 0
Time: 1576424197, Messages: 0, Members Joined: 0
Time: 1576424202, Messages: 0, Members Joined: 0
Time: 1576424207, Messages: 0, Members Joined: 0
Time: 1576424212, Messages: 0, Members Joined: 0
Time: 1576424217, Messages: 0, Members Joined: 0
Time: 1576424222, Messages: 0, Members Joined: 0
Time: 1576424227, Messages: 0, Members Joined: 0
Time: 1576424232, Messages: 1, Members Joined: 0
Time: 1576424236, Messages: 0, Members Joined: joined
Time: 1576424241, Messages: 2, Members Joined: 0
Time: 1576424246, Messages: 0, Members Joined: 0
Time: 1576424251, Messages: 0, Members Joined: 0
Time: 1576424256, Messages: 0, Members Joined: 0
Time: 1576424263, Messages: 0, Members Joined: joined
Time: 1576424268, Messages: 2, Members Joined: 0
Time: 1576424273, Messages: 0, Members Joined: 0
Time: 1576424278, Messages: 0, Members Joined: 0
Time: 1576424283, Messages: 0, Members Joined: 0
Time: 1576424288, Messages: 0, Members Joined: 0
Time: 1576424293, Messages: 0, Members Joined: 0
Time: 1576424298, Messages: 0, Members Joined: 0
Time: 1576424302, Messages: 0, Members Joined: joined
Time: 1576424307, Messages: 2, Members Joined: 0
Time: 1576424312, Messages: 0, Members Joined: 0
Time: 1576424317, Messages: 0, Members Joined: 0
Time: 1576424322, Messages: 0, Members Joined: 0
Time: 1576424327, Messages: 0, Members Joined: 0
Time: 1576424332, Messages: 0, Members Joined: 0
Time: 1576424337, Messages: 1, Members Joined: 0
Time: 1576424342, Messages: 0, Members Joined: 0
Time: 1576424347, Messages: 0, Members Joined: 0
Time: 1576424352, Messages: 0, Members Joined: 0
Time: 1576424357, Messages: 0, Members Joined: 0
Time: 1576424362, Messages: 0, Members Joined: 0
Time: 1576424367, Messages: 0, Members Joined: 0
Time: 1576424372, Messages: 0, Members Joined: 0
Time: 1576424377, Messages: 0, Members Joined: 0
Time: 1576424382, Messages: 0, Members Joined: 0
Time: 1576424387, Messages: 0, Members Joined: 0
Time: 1576424392, Messages: 0, Members Joined: 0
Time: 1576424397, Messages: 0, Members Joined: 0
Time: 1576424402, Messages: 0, Members Joined: 0
Time: 1576424407, Messages: 0, Members Joined: 0
Time: 1576424412, Messages: 0, Members Joined: 0
Time: 1576424417, Messages: 1, Members Joined: 0
Time: 1576424422, Messages: 0, Members Joined: 0
Time: 1576424427, Messages: 0, Members Joined: 0
Time: 1576424432, Messages: 0, Members Joined: 0
Time: 1576424437, Messages: 0, Members Joined: 0
Time: 1576424442, Messages: 0, Members Joined: 0
Time: 1576424447, Messages: 0, Members Joined: 0
Time: 1576424452, Messages: 0, Members Joined: 0
Time: 1576424457, Messages: 0, Members Joined: 0
Time: 1576424462, Messages: 0, Members Joined: 0
Time: 1576424467, Messages: 0, Members Joined: 0
Time: 1576424472, Messages: 1, Members Joined: 0
Time: 1576424477, Messages: 0, Members Joined: 0
Time: 1576424483, Messages: 0, Members Joined: joined
Time: 1576424488, Messages: 1, Members Joined: 0
Time: 1576424493, Messages: 0, Members Joined: 0
Time: 1576424498, Messages: 0, Members Joined: joined
Time: 1576424516, Messages: 0, Members Joined: joined
Time: 1576424521, Messages: 0, Members Joined: 0
Time: 1576424526, Messages: 0, Members Joined: 0
Time: 1576424531, Messages: 0, Members Joined: 0
Time: 1576424536, Messages: 0, Members Joined: 0
Time: 1576424541, Messages: 0, Members Joined: 0
Time: 1576424546, Messages: 0, Members Joined: 0
Time: 1576424551, Messages: 0, Members Joined: 0
Time: 1576424556, Messages: 0, Members Joined: 0
Time: 1576424561, Messages: 0, Members Joined: 0
Time: 1576424566, Messages: 0, Members Joined: 0
Time: 1576424571, Messages: 0, Members Joined: 0
Time: 1576424576, Messages: 0, Members Joined: joined
Time: 1576424581, Messages: 0, Members Joined: 0
Time: 1576424586, Messages: 2, Members Joined: 0
Time: 1576424591, Messages: 0, Members Joined: 0
Time: 1576424596, Messages: 0, Members Joined: 0
Time: 1576424601, Messages: 0, Members Joined: 0
Time: 1576424606, Messages: 0, Members Joined: 0
Time: 1576424611, Messages: 0, Members Joined: 0
Time: 1576424616, Messages: 0, Members Joined: 0
Time: 1576424621, Messages: 0, Members Joined: 0
Time: 1576424626, Messages: 0, Members Joined: 0
Time: 1576424631, Messages: 0, Members Joined: 0
Time: 1576424636, Messages: 0, Members Joined: 0
Time: 1576424641, Messages: 0, Members Joined: 0
Time: 1576424646, Messages: 0, Members Joined: 0
Time: 1576424651, Messages: 0, Members Joined: 0
Time: 1576424656, Messages: 0, Members Joined: 0
Time: 1576424661, Messages: 0, Members Joined: 0
Time: 1576424666, Messages: 1, Members Joined: 0
Time: 1576424671, Messages: 0, Members Joined: 0
Time: 1576424676, Messages: 0, Members Joined: 0
Time: 1576424681, Messages: 0, Members Joined: 0
Time: 1576424686, Messages: 0, Members Joined: 0
Time: 1576424691, Messages: 0, Members Joined: 0
Time: 1576424696, Messages: 0, Members Joined: 0
Time: 1576424701, Messages: 0, Members Joined: 0
Time: 1576424706, Messages: 0, Members Joined: 0
Time: 1576424711, Messages: 0, Members Joined: 0
Time: 1576424716, Messages: 0, Members Joined: 0
Time: 1576424721, Messages: 0, Members Joined: 0
Time: 1576424726, Messages: 0, Members Joined: 0
Time: 1576424731, Messages: 0, Members Joined: 0
Time: 1576424736, Messages: 0, Members Joined: 0
Time: 1576424741, Messages: 0, Members Joined: 0
Time: 1576424746, Messages: 0, Members Joined: 0
Time: 1576424751, Messages: 0, Members Joined: 0
Time: 1576424756, Messages: 0, Members Joined: 0
Time: 1576424761, Messages: 0, Members Joined: 0
Time: 1576424766, Messages: 0, Members Joined: 0
Time: 1576424771, Messages: 0, Members Joined: 0
Time: 1576424776, Messages: 0, Members Joined: 0
Time: 1576424781, Messages: 0, Members Joined: 0
Time: 1576424786, Messages: 0, Members Joined: 0
Time: 1576424791, Messages: 0, Members Joined: 0
Time: 1576424796, Messages: 0, Members Joined: 0
Time: 1576424801, Messages: 0, Members Joined: 0
Time: 1576424806, Messages: 0, Members Joined: 0
